"Name"
"AarSvc_afa33"
"AJRouter"
"ALG"
"AppIDSvc"
"AppReadiness"
"AppVClient"
"AppXSvc"
"AssignedAccessManagerSvc"
"autotimesvc"
"AxInstSV"
"BcastDVRUserService_afa33"
"BDESVC"
"BITS"
"BluetoothUserService_afa33"
"CaptureService_afa33"
"CertPropSvc"
"ClipSVC"
"cloudidsvc"
"COMSysApp"
"ConsentUxUserSvc_afa33"
"CredentialEnrollmentManagerUserSvc_afa33"
"CscService"
"dcsvc"
"defragsvc"
"DeviceAssociationBrokerSvc_afa33"
"DeviceInstall"
"DevicePickerUserSvc_afa33"
"DevicesFlowUserSvc_afa33"
"DevQueryBroker"
"diagnosticshub.standardcollector.service"
"diagsvc"
"DiagTrack"
"DialogBlockingService"
"DmEnrollmentSvc"
"dmwappushservice"
"dot3svc"
"DsmSvc"
"edgeupdate"
"edgeupdatem"
"EFS"
"embeddedmode"
"EntAppSvc"
"EpicOnlineServices"
"Fax"
"fdPHost"
"FDResPub"
"fhsvc"
"FontCache3.0.0.0"
"FrameServer"
"GalaxyClientService"
"GalaxyCommunication"
"GameInputSvc"
"GoogleChromeElevationService"
"GoogleUpdaterInternalService134.0.6947.0"
"GoogleUpdaterService134.0.6947.0"
"gpsvc"
"GraphicsPerfSvc"
"HvHost"
"icssvc"
"IKEEXT"
"Intel(R) Capability Licensing Service TCP IP Interface"
"Intel(R) TPM Provisioning Service"
"IpxlatCfgSvc"
"KtmRm"
"lltdsvc"
"LxpSvc"
"MapsBroker"
"McpManagementService"
"MessagingService_afa33"
"MicrosoftEdgeElevationService"
"MixedRealityOpenXRSvc"
"MozillaMaintenance"
"MSDTC"
"MSiSCSI"
"msiserver"
"MsKeyboardFilter"
"NaturalAuthentication"
"NcaSvc"
"NcdAutoSetup"
"Netlogon"
"Netman"
"NetSetupSvc"
"NetTcpPortSharing"
"OVRLibraryService"
"p2pimsvc"
"p2psvc"
"PeerDistSvc"
"perceptionsimulation"
"PerfHost"
"PhoneSvc"
"PimIndexMaintenanceSvc_afa33"
"pla"
"PNRPAutoReg"
"PNRPsvc"
"PolicyAgent"
"PrintNotify"
"PrintWorkflowUserSvc_afa33"
"PushToInstall"
"RasAuto"
"RemoteAccess"
"RemoteRegistry"
"RetailDemo"
"RpcLocator"
"SCardSvr"
"ScDeviceEnum"
"SCPolicySvc"
"SDRSVC"
"seclogon"
"SEMgrSvc"
"Sense"
"SensorDataService"
"SensorService"
"SensrSvc"
"SessionEnv"
"SharedAccess"
"SharedRealitySvc"
"shpamsvc"
"smphost"
"SmsRouter"
"SNMPTRAP"
"spectrum"
"sppsvc"
"ssh-agent"
"Steam Client Service"
"svsvc"
"swprv"
"TapiSrv"
"TermService"
"TieringEngineService"
"TroubleshootingSvc"
"TrustedInstaller"
"tzautoupdate"
"UdkUserSvc_afa33"
"UevAgentService"
"uhssvc"
"UmRdpService"
"UnistoreSvc_afa33"
"upnphost"
"UserDataSvc_afa33"
"VacSvc"
"vds"
"vmicguestinterface"
"vmicheartbeat"
"vmickvpexchange"
"vmicrdv"
"vmicshutdown"
"vmictimesync"
"vmicvmsession"
"vmicvss"
"VSInstallerElevationService"
"VSS"
"VSStandardCollectorService150"
"WaaSMedicSvc"
"WalletService"
"WarpJITSvc"
"wbengine"
"wcncsvc"
"WebClient"
"Wecsvc"
"WEPHOSTSVC"
"wercplsupport"
"WerSvc"
"WFDSConMgrSvc"
"WiaRpc"
"WinRM"
"wisvc"
"wlidsvc"
"wlpasvc"
"WManSvc"
"wmiApSrv"
"WMPNetworkSvc"
"workfolderssvc"
"WpcMonSvc"
"WPDBusEnum"
"wuauserv"
"WwanSvc"
"XblAuthManager"
"XblGameSave"
"XboxGipSvc"
"XboxNetApiSvc"
